Shadowkeeper,4370747023999359,140737488355328,2900978758956611,2251799813685248
llippen5,7756124110983595,281474976710656,5371286243084909,4503599627370496
Bunnies,7545106315571171,281474976710656,4296761291462479,4503599627370496
McGinty,846834861875325,35184372088832,2252825663176661,2251799813685248
Buck Godot,6633321952027555,281474976710656,4439545856591473,4503599627370496
Mirumoto,4064520098103299,140737488355328,9002992580523151,9007199254740992
Bennett,8267219877938573,281474976710656,8760250117415231,9007199254740992
Scorpion,4040817200669663,140737488355328,8953807873089941,9007199254740992
Abe Caine,1756973698518643,70368744177664,4315533406517589,4503599627370496
Darwin,6899974012789351,281474976710656,4460828242456433,4503599627370496
Paul Erdos,3095870041554811,140737488355328,2355689147163727,2251799813685248
Horde O Ninjas,7220640436278309,281474976710656,2404237906700181,2251799813685248
Zero,3730665344755389,140737488355328,2639954353275225,2251799813685248
haruspex,7695525806362013,281474976710656,4735891355801701,4503599627370496
Sailor Mars,6872536005423165,281474976710656,4299787733252217,4503599627370496
Sailor Venus,1773278576712423,70368744177664,4576867865846011,4503599627370496
Hammer,6994879690740115,281474976710656,4330579317788723,4503599627370496
Avis,6417354721342811,281474976710656,4347599324893637,4503599627370496
Krosp,3486200039783243,140737488355328,146998163425591,140737488355328
Howling Wolf,3194578260222055,140737488355328,4678602605367357,4503599627370496
Ayeka,3572988217313829,140737488355328,4974543136233231,4503599627370496
Merlin,5571408617115529,281474976710656,4556155222893223,4503599627370496
Tonase,7241282354338863,281474976710656,8905577887329119,9007199254740992
The GM,878917632535753,35184372088832,1187516825299391,1125899906842624
Hope,3496092315733509,140737488355328,9005499658485627,9007199254740992
Chastity,3131599784267971,140737488355328,1166121881615041,1125899906842624
Hannah,6655695391747049,281474976710656,8740720919026109,9007199254740992
Stark,1712523545237805,70368744177664,8854784151751911,9007199254740992
Lisa,6726500999032613,281474976710656,4797687366053269,4503599627370496
Lorrie,3759641673805569,140737488355328,2529998820608437,2251799813685248
Ogi,1909761750454133,70368744177664,4615320035241223,4503599627370496
Patience,887830479987445,35184372088832,4486528366295817,4503599627370496
Lancelot,394281363333667,17592186044416,2340791862095363,2251799813685248
Echo,7344229365635695,281474976710656,8514147267017835,9007199254740992
Tiffany,6511583767395293,281474976710656,4410330349056715,4503599627370496
Carson,787466152020153,35184372088832,4498097513241417,4503599627370496
Honzo,7725976195407757,281474976710656,8923371450122897,9007199254740992
Mordred,2894608474965235,140737488355328,4674697007943585,4503599627370496
Tamiya,3506961705714449,140737488355328,281200112663341,281474976710656
Nickie,1676197612907661,70368744177664,4352436451068045,4503599627370496
Flaire,3101737411837215,140737488355328,2346968389624645,2251799813685248
The Effster,6384336415369831,281474976710656,4566211482500937,4503599627370496
Yeti,3784835850537727,140737488355328,557458960716591,562949953421312
Mantis,4183839921270129,140737488355328,8881350108362091,9007199254740992
Drew's Truck,6282995850128501,281474976710656,143472822315077,140737488355328
Shore,3821913462269285,140737488355328,2201195707558065,2251799813685248
moekon,2350103609708085,70368744177664,726558229412337,562949953421312
eon,5155005278522103,281474976710656,658933230804109,562949953421312
Jedite,233135393302795,8796093022208,2506139872660427,2251799813685248
Queen Of Hearts,6880092057192311,281474976710656,4536078504979621,4503599627370496
Mad Hatter,5964833287435763,281474976710656,8918022790309677,9007199254740992
Shepherd,7369432466128273,281474976710656,4486041426223185,4503599627370496
Wu Lan,7495253907906527,281474976710656,8766122506207903,9007199254740992
Miser,8138582698544645,281474976710656,8717299795274821,9007199254740992
Synthia,2530914990350807,140737488355328,4523816322353289,4503599627370496
Bluff,3662751612842869,140737488355328,4339352279539455,4503599627370496
Lab Rat,3627462529109669,140737488355328,1166905034821553,1125899906842624
Changeling,7442864501925017,281474976710656,275849349543585,281474976710656
Ronin,7718668271882753,281474976710656,2400454183061419,2251799813685248
Iago,2983791485923673,140737488355328,2193444386761929,2251799813685248
myxozoa,564604834839207,17592186044416,6021898323669531,4503599627370496
Buckley,1717470889953869,70368744177664,8825558379526741,9007199254740992
Carson (promo),6867409378548353,281474976710656,1133897847022487,1125899906842624
Buddy,6254809885341855,281474976710656,4414207599715289,4503599627370496
Queen Serenity,3401492131655745,140737488355328,4814922524074825,4503599627370496
Clare,49191704083077,2199023255552,8745000827362335,9007199254740992
Lucky,7150290867198599,281474976710656,4326402336265747,4503599627370496
Kiyone,840071899978385,35184372088832,1354014571280605,1125899906842624
Guenever,1624503556511909,70368744177664,4920418166535471,4503599627370496
Gil,3337564719465717,140737488355328,8753542450981839,9007199254740992
Xylene,1561696253731447,70368744177664,1161295451371357,1125899906842624
O-Lass,3551376987553925,140737488355328,4341498818360659,4503599627370496
Oni,1989232125670849,70368744177664,275607885355537,281474976710656
Crane,1875281252324923,70368744177664,1174516073432901,1125899906842624
Dragon,2027035800644087,70368744177664,2293230456137389,2251799813685248
Bauer,775707399485215,35184372088832,4346613141397313,4503599627370496
Starchylde,6425900747768827,281474976710656,8933128269772555,9007199254740992
Kublai,6447634307243545,281474976710656,4385656780618107,4503599627370496
Ngozi,6637477470901235,281474976710656,572660885335021,562949953421312
Wolfman,1780811039767293,70368744177664,4789501207254223,4503599627370496
Leonard Eugene Dickson,5889240284572459,281474976710656,4674293844212225,4503599627370496
Prudence,3675358061099901,140737488355328,2277840540305831,2251799813685248
Charity,3366060885720845,140737488355328,4676090832970061,4503599627370496
Nimue,6179283166548011,281474976710656,2686294307276787,2251799813685248
Grist,3689698916275839,140737488355328,4583087045288983,4503599627370496
Dunkirk,5739107575769469,281474976710656,4371555503047565,4503599627370496
jgenzano,8145847246125647,281474976710656,5736184803367329,4503599627370496
Niles,797102720210537,35184372088832,555837667636889,562949953421312
Dixie,427094002606711,17592186044416,8500337089593753,9007199254740992
Phil,6952695102357037,281474976710656,4925081133444615,4503599627370496
Rubeus,7158119006273775,281474976710656,2570101388487421,2251799813685248
Rini,7879555133986485,281474976710656,4945579407782857,4503599627370496
Peace,8537678598414765,562949953421312,1170688134024639,1125899906842624
Yagharek,4481775463204131,140737488355328,5699690236183893,4503599627370496
itachi,6297540620754333,281474976710656,2356414495291337,2251799813685248
Pappy,3279649050880927,140737488355328,4663536105085155,4503599627370496
Qui-Gon Jinn,8775203054936181,281474976710656,665794016726491,562949953421312
Carl Friedrich Gauss,3173762970872421,140737488355328,4729748896763751,4503599627370496
Yseulte,3721035909774967,140737488355328,8631358786464623,9007199254740992
King Endymion,1834008460672897,70368744177664,5616060696152711,4503599627370496
Kakita,4075608104675845,140737488355328,4656997320482529,4503599627370496
hairlesswonder,7267127978399731,281474976710656,2722193297156109,2251799813685248
Klaus,7107112538042933,281474976710656,296192760376753,281474976710656
Tenchi,7074219588839853,281474976710656,160735344881605,140737488355328
Crab,467212354691929,17592186044416,8896623892767619,9007199254740992
White Rabbit,6538598041983227,281474976710656,4598578857019201,4503599627370496
Wastenott,5278872431559041,281474976710656,2199773861071813,2251799813685248
Reaver,3799663795828319,140737488355328,8777278287816495,9007199254740992
Naga,7771236484174191,281474976710656,1125566383897429,1125899906842624
White Tiger,3153015129469595,140737488355328,4530259891575547,4503599627370496
Jellybean,3494648250392885,140737488355328,8702638572651523,9007199254740992
Konami,4042765406304969,140737488355328,4368048592635483,4503599627370496
Bill,6183119081214807,281474976710656,4691501465308455,4503599627370496
Igor (promo),6430119326693993,281474976710656,4675103499689777,4503599627370496
Sadakuro,3969823224721453,140737488355328,2214943422453925,2251799813685248
Cthulhu,5607208990342341,562949953421312,5320426777885571,4503599627370496
Dirgo,821628195460799,35184372088832,4843029350199707,4503599627370496
Kaeriol,5661469287309837,281474976710656,2730316951923437,2251799813685248
Brigid,1627292112493407,70368744177664,4511455656500621,4503599627370496
bonefish,3946950582201477,140737488355328,5142510017052193,4503599627370496
Lust,5722655976923633,281474976710656,4984594906772203,4503599627370496
Sloth,7080858767632677,281474976710656,5083097497000757,4503599627370496
Count Dracula,3590847216047689,140737488355328,1128970040720309,1125899906842624
Spencer,6104804563382287,281474976710656,2704489718357469,2251799813685248
Eeyore,3281904410660697,140737488355328,2634715994333559,2251799813685248
Bane,8098105427440879,281474976710656,4376610963894473,4503599627370496
Angel,6315050491726505,281474976710656,8964570864115659,9007199254740992
Maskin,780791181051867,35184372088832,86622484305197,70368744177664
Agatha,1674295033074783,70368744177664,304590728425843,281474976710656
Karl,6560797212759025,281474976710656,8728047691213813,9007199254740992
Bruno,1678563152955109,70368744177664,2228455531339851,2251799813685248
Billy Shakespeare,8199466275897895,281474976710656,8786604021779685,9007199254740992
Coil,3899468480016703,140737488355328,8783967108013043,9007199254740992
Conspyre,6602715486897017,281474976710656,649280574365999,562949953421312
The James Beast,6623959661796167,281474976710656,1274423918969409,1125899906842624
Daisy,1512915883293789,70368744177664,309019340292133,281474976710656
Bang,6643155920243003,281474976710656,2309565965643071,2251799813685248
Temperance,3519878029227989,140737488355328,1132199613273673,1125899906842624
Darth Maul,4483577645881815,140737488355328,4761799424014227,4503599627370496
Wicked Lady,6841745535675653,281474976710656,5484748276478025,4503599627370496
Emerald,6315229744111415,281474976710656,5260416128311289,4503599627370496
Sailor Moon,3531387090326435,140737488355328,583804963167655,562949953421312
Chris,1806520246053843,70368744177664,8685674633449505,9007199254740992
Fingle,3328777834496919,140737488355328,2353716776540671,2251799813685248
Dracha,7316250655178991,281474976710656,4619856959738135,4503599627370496
Von Pinn,3159857827731613,140737488355328,8759672582520755,9007199254740992
Tweedledum+dee,6091624981564657,281474976710656,4600619509884211,4503599627370496
Nephlite,3400578092662891,140737488355328,2578549867009037,2251799813685248
Sailor Mercury,423291295158443,17592186044416,4786452276509553,4503599627370496
braincraft,7903710102105635,281474976710656,2967948323398795,2251799813685248
Pearl,3690011285759755,140737488355328,4322603928864421,4503599627370496
roujin27,2593346058293781,70368744177664,742423443670013,562949953421312
Downen,4339510323139073,140737488355328,6012741522047265,4503599627370496
bowler190,4569552636113257,140737488355328,4841080798191497,4503599627370496
Me am ORK!,1894579130644077,70368744177664,8818225897237617,9007199254740992
Randy,6812074924818131,281474976710656,4861278730075951,4503599627370496
Ginzu,6198594567890073,281474976710656,2434468756292417,2251799813685248
Tony,6654654987040349,281474976710656,587119957379681,562949953421312
Mike Young,6081818823184631,281474976710656,1145143865007681,1125899906842624
Sydney,7027034987549797,281474976710656,2233181429053671,2251799813685248
Spite,2107806439052061,70368744177664,8862027349312335,9007199254740992
Faith,6035879151551463,281474976710656,565214154291241,562949953421312
Luna & Artemis,7785909152613875,281474976710656,2375363523001929,2251799813685248
slamkrypare,3469385517109107,140737488355328,5248377849669831,4503599627370496
Wiseman,6602066712248929,281474976710656,1221565949120045,1125899906842624
fendrin,5407810357778493,140737488355328,4866793229625213,4503599627370496
Anvil,282597145056921,8796093022208,2606643273594857,2251799813685248
Kith,421882552179709,17592186044416,8751026571677075,9007199254740992
Mau,185986062416671,8796093022208,5581695135426331,4503599627370496
FuzzFace,3055458099716989,140737488355328,2281088530263671,2251799813685248
sanny,4549409450819361,140737488355328,5706303822869393,4503599627370496
Lion,8424692342502593,281474976710656,4588857989828487,4503599627370496
Marilyn Monroe,351205897556893,17592186044416,37722445166177,35184372088832
Princess Serena,6752252686809225,281474976710656,668485877706385,562949953421312
Grym,7551643801071463,281474976710656,3053975363652963,2251799813685248
Envy,3230082313040913,140737488355328,8840838706341901,9007199254740992
Simon,765154289437049,35184372088832,5141400310048835,4503599627370496
Mihoshi,6714328299506607,281474976710656,4916178523079183,4503599627370496
Rikachu,1814972435980821,70368744177664,566383993492285,562949953421312
Ryo-Ohki,3435221538365381,140737488355328,2261678006046875,2251799813685248
Sailor Man,6911214455086419,281474976710656,9006197393766423,9007199254740992
Morgan,1402683912745005,70368744177664,8971748664119337,9007199254740992
Pjack,1723760576897445,70368744177664,5575492457323563,4503599627370496
Hale,7636669933314775,281474976710656,4613220689028759,4503599627370496
Phoenix,7273845889986253,281474976710656,4577509414896677,4503599627370496
Craptacualr,6528664908297817,281474976710656,594868426650435,562949953421312
Strik,7275110398437597,281474976710656,1088516510887729,1125899906842624
MAX (promo),7101360776195795,281474976710656,4356879180234147,4503599627370496
The Flying Squirrel (unofficial),1549094553476845,70368744177664,2318469267517839,2251799813685248
Neo-Queen Serenity,5357325083880217,281474976710656,2446769388183733,2251799813685248
Yuranosuke,7532442090811321,281474976710656,4510611193610465,4503599627370496
Cammy Neko,6816338363100521,281474976710656,1090784777049951,1125899906842624
Bull,6284275958550793,281474976710656,578835009334629,562949953421312
CynCyn,422072197293977,17592186044416,4641764563872303,4503599627370496
Max Factor,6030371399486179,281474976710656,582032367017807,562949953421312
Cheese Weasel,6234701678150205,281474976710656,2332894961202753,2251799813685248
Kitty Cat Seven,3081192937240969,140737488355328,1167377158175513,1125899906842624
Jorgi,7820326295776503,281474976710656,2281652213139753,2251799813685248
Eiko,6174854814764035,281474976710656,4429946783679121,4503599627370496
Crusher,839353114468217,35184372088832,4466512296673307,4503599627370496
Pikathulhu,6834353001933107,281474976710656,1215421131834797,1125899906842624
Morgan Le Fay,6525051158174875,281474976710656,5012733744366563,4503599627370496
Theano,2909534787514075,140737488355328,583665681065109,562949953421312
Okaru,109435148945987,4398046511104,8967960370123747,9007199254740992
Caine,6568433549695173,281474976710656,1120640878239633,1125899906842624
Phuong,6138177255938915,281474976710656,5311505174665003,4503599627370496
Soja's Guardians,8060117478464003,281474976710656,5071369892408981,4503599627370496
Growf,3250614674130071,140737488355328,8913365111299419,9007199254740992
Ken,931406355172333,35184372088832,1154133475472819,1125899906842624
wembley-fraggle,8973527957553961,281474976710656,5006814724995595,4503599627370496
Jingjing,3162688225104849,140737488355328,5323432795052461,4503599627370496
Ryoko,1759162193681261,70368744177664,4862359231022487,4503599627370496
Tess,685893643190005,35184372088832,2256863757036273,2251799813685248
Tuxedo Mask,3478891438264535,140737488355328,297495080618417,281474976710656
Super Germ,1247009851039635,70368744177664,283143776009197,281474976710656
Al-Khwarizmi,5773614194768507,281474976710656,4652579351111141,4503599627370496
Hooloovoo,8926672336412637,281474976710656,3107289353005773,2251799813685248
John Kovalic,6441670584867219,281474976710656,4870277818940497,4503599627370496
Sonia,7657103363969753,281474976710656,8812221017640831,9007199254740992
Dr. Clay,7664233977531531,281474976710656,2578786032732121,2251799813685248
Thaddeus,6836233105559485,281474976710656,71681424076147,70368744177664
Angora,7232810289143197,281474976710656,8743172742990995,9007199254740992
opedog,6643485521819599,281474976710656,2450651994067657,2251799813685248
