Shadowkeeper,2127132304276051,70368744177664,1374278948179319,1125899906842624
llippen5,8025553751847529,281474976710656,2577583647459635,2251799813685248
Bunnies,7930507302082681,281474976710656,8683377945769563,9007199254740992
McGinty,6385017436877249,281474976710656,4416688986242149,4503599627370496
Buck Godot,3281428286024643,140737488355328,8750336643276433,9007199254740992
Mirumoto,4076433450217059,140737488355328,1117634901687799,1125899906842624
Bennett,8296052143316971,281474976710656,8724881556450307,9007199254740992
Scorpion,4124720713870479,140737488355328,8890256498282247,9007199254740992
Abe Caine,3480314095944697,140737488355328,2138737358682485,2251799813685248
Darwin,6795712828525377,281474976710656,8836644327843313,9007199254740992
Paul Erdos,6284521788754081,281474976710656,4622770309162627,4503599627370496
Horde O Ninjas,7310699565548915,281474976710656,4690799102648883,4503599627370496
Zero,916883124544921,35184372088832,4979323927779645,4503599627370496
haruspex,3805489573246007,140737488355328,4612923409207849,4503599627370496
Sailor Mars,1733559736502191,70368744177664,1074521664183743,1125899906842624
Sailor Venus,7080824198877191,281474976710656,4502385396502097,4503599627370496
Hammer,223811737998817,8796093022208,8614724706977329,9007199254740992
Avis,6429751750429083,281474976710656,1083523419544167,1125899906842624
Krosp,3440468834511535,140737488355328,1147176047926421,1125899906842624
Howling Wolf,6213950266440933,281474976710656,4599913117779457,4503599627370496
Ayeka,7086099701115759,281474976710656,602661837174079,562949953421312
Merlin,2810256808878677,140737488355328,4509424757715045,4503599627370496
Tonase,7246348960201115,281474976710656,1102645496455973,1125899906842624
The GM,6979173753181293,281474976710656,2272017741884759,2251799813685248
Hope,6785715134527979,281474976710656,4458954222156309,4503599627370496
Chastity,6338672010226413,281474976710656,570150197175919,562949953421312
Hannah,3312436621573527,140737488355328,8679090984885183,9007199254740992
Stark,3405347446030081,140737488355328,2173737821904929,2251799813685248
Lisa,6870682584721815,281474976710656,294575866615109,281474976710656
Lorrie,1756435463046259,70368744177664,2369928540797367,2251799813685248
Ogi,1934774841712215,70368744177664,2258631218612377,2251799813685248
Patience,889243437233583,35184372088832,8899612584125447,9007199254740992
Lancelot,797431297544627,35184372088832,4609841615314763,4503599627370496
Echo,3443314508789755,140737488355328,8472122741244491,9007199254740992
Tiffany,6559492000538395,281474976710656,2169498119480271,2251799813685248
Carson,3269589332531649,140737488355328,8882012130890399,9007199254740992
Honzo,3788479359971315,140737488355328,8797730091413465,9007199254740992
Mordred,2856539200636065,140737488355328,4620185737381555,4503599627370496
Tamiya,865933935397907,35184372088832,4435768070748951,4503599627370496
Nickie,6888130893941281,281474976710656,542245241011133,562949953421312
Flaire,1594775250655635,70368744177664,569601202288203,562949953421312
The Effster,6383864837310811,281474976710656,8969675511734229,9007199254740992
Yeti,7264163225335957,281474976710656,4332619418634771,4503599627370496
Mantis,8195356335311221,281474976710656,4389445145301963,4503599627370496
Drew's Truck,6570497621327183,281474976710656,4264436393848729,4503599627370496
Shore,3817069471569949,140737488355328,135931170017311,140737488355328
moekon,8973948627055731,281474976710656,5045046850274259,4503599627370496
eon,2551075892104569,140737488355328,1207870350294531,1125899906842624
Jedite,3674197144276929,140737488355328,2458810647777467,2251799813685248
Queen Of Hearts,3557105627528057,140737488355328,8852328443767057,9007199254740992
Mad Hatter,1502559142194757,70368744177664,8684227591296115,9007199254740992
Shepherd,3806568952101311,140737488355328,2207768478788175,2251799813685248
Wu Lan,7405503068294503,281474976710656,8730717047401905,9007199254740992
Miser,1981118588320759,70368744177664,4367013645426287,4503599627370496
Synthia,1246399534602611,70368744177664,8866753145539333,9007199254740992
Bluff,7069649854778439,281474976710656,8616743973778197,9007199254740992
Lab Rat,7365154140574309,281474976710656,1136634236762777,1125899906842624
Changeling,1825792605632075,70368744177664,8545463231919,8796093022208
Ronin,1958625583549181,70368744177664,1178805943438459,1125899906842624
Iago,1542279264127697,70368744177664,8723152780330013,9007199254740992
myxozoa,8949483378350763,281474976710656,5710224393410241,4503599627370496
Buckley,3391784365219843,140737488355328,2179082398144039,2251799813685248
Carson (promo),6996175935194221,281474976710656,4521206911758563,4503599627370496
Buddy,1581684186787291,70368744177664,1094381536099039,1125899906842624
Queen Serenity,7182064097370599,281474976710656,4648792577935615,4503599627370496
Clare,3141609556526985,140737488355328,545470590131879,562949953421312
Lucky,1712204551211869,70368744177664,8666902847544671,9007199254740992
Kiyone,6677062968444231,281474976710656,5207847444591839,4503599627370496
Guenever,6573365074793049,281474976710656,1198456792405779,1125899906842624
Gil,3269807625395397,140737488355328,2167398523605253,2251799813685248
Xylene,6058106754184185,281474976710656,8950501923351431,9007199254740992
O-Lass,6935282856043339,281474976710656,2159371028823381,2251799813685248
