Shadowkeeper,8569668936120593,281474976710656,2804252070885741,2251799813685248
llippen5,7854967762465175,281474976710656,2638874211052225,2251799813685248
Bunnies,7806850037588311,281474976710656,8683589402397947,9007199254740992
McGinty,3295027802888323,140737488355328,8890958118614093,9007199254740992
Buck Godot,6594077416710763,281474976710656,4386047307207199,4503599627370496
Mirumoto,8168347265309041,281474976710656,8957173643925723,9007199254740992
Bennett,4159805018738419,140737488355328,8707265824173301,9007199254740992
Scorpion,4098104452966811,140737488355328,4452005943816821,4503599627370496
Abe Caine,3501645162549833,140737488355328,8560402056617323,9007199254740992
Darwin,3452763784004229,140737488355328,8899928022518367,9007199254740992
Paul Erdos,1551346922041243,70368744177664,4641898850373603,4503599627370496
Horde O Ninjas,455768135773089,17592186044416,4714832805268273,4503599627370496
Zero,7462509473867029,281474976710656,5105582284025723,4503599627370496
haruspex,3805036173858759,140737488355328,4628742629553181,4503599627370496
Sailor Mars,53901604084517,2199023255552,1072957105210531,1125899906842624
Sailor Venus,7184154804211063,281474976710656,4520559933038573,4503599627370496
Hammer,7149715263512463,281474976710656,8612631429460815,9007199254740992
Avis,3238507155459411,140737488355328,8688927449775585,9007199254740992
Krosp,6890429308510253,281474976710656,1154092264096677,1125899906842624
Howling Wolf,3109731419302525,140737488355328,4640583748205685,4503599627370496
Ayeka,7113778316132503,281474976710656,607881622747317,562949953421312
Merlin,5612411525783503,281474976710656,4529502819520027,4503599627370496
Tonase,7209880051667137,281474976710656,4422561966464957,4503599627370496
The GM,7080712450122281,281474976710656,1149189084010303,1125899906842624
Hope,422529424838605,17592186044416,8941668376095787,9007199254740992
Chastity,3172678419215937,140737488355328,4603959345209083,4503599627370496
Hannah,3337498888359325,140737488355328,8653770200716757,9007199254740992
Stark,107393716378963,4398046511104,8722329066353711,9007199254740992
Lisa,6848775124545079,281474976710656,4723569512178467,4503599627370496
Lorrie,883702432921975,35184372088832,4770576525134353,4503599627370496
Ogi,1935340266389073,70368744177664,4530269094975073,4503599627370496
Patience,1760873321398747,70368744177664,69646357252561,70368744177664
Lancelot,799662955101309,35184372088832,4613145673836265,4503599627370496
Echo,3553804676226669,140737488355328,1055647820720567,1125899906842624
Tiffany,6477766944033079,281474976710656,2186635796033857,2251799813685248
Carson,1605085579677841,70368744177664,4447329787743501,4503599627370496
Honzo,3832621216181459,140737488355328,8868312411154973,9007199254740992
Mordred,5715661049970031,281474976710656,2313417395331011,2251799813685248
Tamiya,3495930682080279,140737488355328,555411784911027,562949953421312
Nickie,1725178299429743,70368744177664,1081158312398555,1125899906842624
Flaire,6163231354404329,281474976710656,4679281687544999,4503599627370496
The Effster,1594826170396737,70368744177664,562132533778881,562949953421312
Yeti,7416616220316417,281474976710656,2198487830637057,2251799813685248
Mantis,1024263661224551,35184372088832,4392800554660107,4503599627370496
Drew's Truck,841604958476477,35184372088832,8532903508511363,9007199254740992
Shore,7676051893048429,281474976710656,4357382318249543,4503599627370496
moekon,4537628116019163,140737488355328,5075014486569167,4503599627370496
eon,1264628469110369,70368744177664,5020525251249895,4503599627370496
Jedite,466851122487569,17592186044416,4970426017016719,4503599627370496
Queen Of Hearts,3493815239597551,140737488355328,8864302881332313,9007199254740992
Mad Hatter,6183457680058171,281474976710656,8739243438353143,9007199254740992
Shepherd,3799915335544679,140737488355328,1103283777346759,1125899906842624
Wu Lan,1846475044918633,70368744177664,2178048086950735,2251799813685248
Miser,4011238856750493,140737488355328,8728708486481095,9007199254740992
Synthia,2469761017806089,140737488355328,4478790002118585,4503599627370496
Bluff,7223131243636473,281474976710656,4317265691889417,4503599627370496
Lab Rat,7410810485022753,281474976710656,4629607096322351,4503599627370496
Changeling,3678014937417117,140737488355328,4382548528773025,4503599627370496
Ronin,3880132176748001,140737488355328,1181375331421761,1125899906842624
Iago,6068228680960973,281474976710656,8737710008912237,9007199254740992
myxozoa,569028387000517,17592186044416,739281841410285,562949953421312
Buckley,3344136326848591,140737488355328,1093457676336625,1125899906842624
Carson (promo),6983806393055331,281474976710656,1126649048299415,1125899906842624
Buddy,6167367791447359,281474976710656,2199007401774187,2251799813685248
Queen Serenity,7010739496307443,281474976710656,2353082650155629,2251799813685248
Clare,3139202846605023,140737488355328,4358833167644957,4503599627370496
Lucky,6959859900255833,281474976710656,8611050439764007,9007199254740992
Kiyone,6680245425710899,281474976710656,5305624766325555,4503599627370496
Guenever,6565105992516841,281474976710656,4832473626991057,4503599627370496
Gil,6600864376486235,281474976710656,8673263071340343,9007199254740992
Xylene,1517503068347239,70368744177664,1101372780529,1099511627776
O-Lass,6963266590254083,281474976710656,8645776179475769,9007199254740992
Oni,8040830829261145,281474976710656,8749019764821549,9007199254740992
Crane,7478714801965081,281474976710656,4615411226567783,4503599627370496
Dragon,8382366946777603,281474976710656,2248180730284009,2251799813685248
Bauer,6307688587901473,281474976710656,8658873343225083,9007199254740992
Starchylde,3226517266321361,140737488355328,2215379232863709,2251799813685248
Kublai,3188600111116167,140737488355328,2191135849894927,2251799813685248
Ngozi,6573105747784129,281474976710656,4550717564534003,4503599627370496
Wolfman,1747266122392905,70368744177664,4718957778808219,4503599627370496
Leonard Eugene Dickson,2846315242337773,140737488355328,2291910806287777,2251799813685248
Prudence,3665415362135775,140737488355328,9003260845481901,9007199254740992
Charity,6661404509973891,281474976710656,4616267084329961,4503599627370496
Nimue,6082670678346391,281474976710656,1295647939137309,1125899906842624
Grist,7235100953911963,281474976710656,2254083347637885,2251799813685248
Dunkirk,5901928202419001,281474976710656,4338487829206201,4503599627370496
jgenzano,8402111908398883,281474976710656,5095985124498599,4503599627370496
Niles,6424195614176589,281474976710656,4406256688364865,4503599627370496
Dixie,3473531522336185,140737488355328,8517444491553201,9007199254740992
Phil,1726227930353541,70368744177664,2405178253598681,2251799813685248
Rubeus,7071705279084393,281474976710656,2523377547520747,2251799813685248
Rini,1971355868747587,70368744177664,1218054006099003,1125899906842624
Peace,4355509691984023,281474976710656,1169043083611971,1125899906842624
Yagharek,2149221712650791,70368744177664,4993714906097559,4503599627370496
itachi,3145057223236963,140737488355328,2344628501401421,2251799813685248
Pappy,6591095588610821,281474976710656,4667175829985547,4503599627370496
Qui-Gon Jinn,4369974988462747,140737488355328,639834709154875,562949953421312
Carl Friedrich Gauss,1592216180966883,70368744177664,2334857712565021,2251799813685248
Yseulte,7460635756092085,281474976710656,4292472927147811,4503599627370496
King Endymion,7337419089482147,281474976710656,5425229947773049,4503599627370496
Kakita,8144104909567933,281474976710656,4584974394269863,4503599627370496
hairlesswonder,7247219541087497,281474976710656,5358465120233883,4503599627370496
Klaus,7150315763220141,281474976710656,4615236436250601,4503599627370496
Tenchi,1754383510497389,70368744177664,1263689306277343,1125899906842624
Crab,7752832996641927,281474976710656,548613437978905,562949953421312
White Rabbit,1641664211695785,70368744177664,4421858011233683,4503599627370496
Wastenott,5106863576704551,281474976710656,2192359558801249,2251799813685248
Reaver,7456711777061247,281474976710656,2175858438938359,2251799813685248
Naga,7588242658208273,281474976710656,8901630000311137,9007199254740992
White Tiger,6414374181208161,281474976710656,1133691781782853,1125899906842624
Jellybean,1752648516795809,70368744177664,8598461387316057,9007199254740992
Konami,7879034835071287,281474976710656,2165456706017689,2251799813685248
Bill,6111067329724043,281474976710656,2332165963724449,2251799813685248
Igor (promo),6470299023021445,281474976710656,2323182760494391,2251799813685248
Sadakuro,8060934487108753,281474976710656,8778600598007213,9007199254740992
Cthulhu,337867122650465,35184372088832,2628575218351537,2251799813685248
Dirgo,1655241513114551,70368744177664,1183058279501759,1125899906842624
Kaeriol,5694333251020377,281474976710656,5342258718652841,4503599627370496
Brigid,6452072832661895,281474976710656,8908593165953895,9007199254740992
bonefish,7928092237068661,281474976710656,5080062520903747,4503599627370496
Lust,2873093236256825,140737488355328,4874075936255327,4503599627370496
Sloth,3526965599795923,140737488355328,2410107326698937,2251799813685248
Count Dracula,6957496272260025,281474976710656,8905797757754297,9007199254740992
Spencer,6214986165093669,281474976710656,4892773223771051,4503599627370496
Eeyore,3202393192041643,140737488355328,1290189097448481,1125899906842624
Bane,1029764688500081,35184372088832,2174418883474421,2251799813685248
Angel,6286827401536021,281474976710656,4446247260872169,4503599627370496
Maskin,3243433836825525,140737488355328,2475875802421699,2251799813685248
Agatha,6677020377565961,281474976710656,4782872552217577,4503599627370496
Karl,6710223121193267,281474976710656,8715562117813033,9007199254740992
Bruno,1671824555933065,70368744177664,8851125392392163,9007199254740992
Billy Shakespeare,1038849122433435,35184372088832,547738859821533,562949953421312
Coil,3873671059388405,140737488355328,4368575478542411,4503599627370496
Conspyre,3260883352067011,140737488355328,5103379378834445,4503599627370496
The James Beast,1628243810478631,70368744177664,4818147536875171,4503599627370496
Daisy,6240763238306367,281474976710656,1161191063903169,1125899906842624
Bang,3351654346020709,140737488355328,143277490775379,140737488355328
Temperance,6938004532475815,281474976710656,8971915451796521,9007199254740992
Darth Maul,4473616978816403,140737488355328,4657758015076549,4503599627370496
Wicked Lady,6879144565213055,281474976710656,5371569179782831,4503599627370496
Emerald,794044343891939,35184372088832,5152469908041519,4503599627370496
Sailor Moon,7269280021191555,281474976710656,2298139854893831,2251799813685248
Chris,7290186601049179,281474976710656,4315103670433287,4503599627370496
Fingle,3437976952134799,140737488355328,2307365797671065,2251799813685248
Dracha,3653249367850811,140737488355328,4537464605082281,4503599627370496
Von Pinn,6497824189958281,281474976710656,8723520067498389,9007199254740992
Tweedledum+dee,5814267946736667,281474976710656,4472731133186953,4503599627370496
Nephlite,3415120354684037,140737488355328,5047366537310049,4503599627370496
Sailor Mercury,3405754718032687,140737488355328,4699168798903835,4503599627370496
braincraft,7929181704832667,281474976710656,5783312710645887,4503599627370496
Pearl,7526344801006665,281474976710656,4330560042252227,4503599627370496
roujin27,5300394099978925,140737488355328,1258771022068725,1125899906842624
Downen,4251250320677921,140737488355328,2546815614182885,2251799813685248
bowler190,4582641493701101,140737488355328,302621727415391,281474976710656
Me am ORK!,7653689226368393,281474976710656,4387727139724871,4503599627370496
Randy,3482601912470611,140737488355328,4575137640760995,4503599627370496
Ginzu,6239131181594897,281474976710656,2407245636782713,2251799813685248
Tony,6583063698212699,281474976710656,8892783802158041,9007199254740992
Mike Young,788051145839205,35184372088832,4543657187581185,4503599627370496
Sydney,7116448103574089,281474976710656,1106623003045171,1125899906842624
Spite,4125193027073395,140737488355328,8747746452812097,9007199254740992
Faith,5977514990849711,281474976710656,2252918688101753,2251799813685248
Luna & Artemis,3892190418389399,140737488355328,4695323124034355,4503599627370496
slamkrypare,6916873521299345,281474976710656,5142424669063029,4503599627370496
Wiseman,6635041157519743,281474976710656,609288709728549,562949953421312
fendrin,2724126658869663,70368744177664,38069487109491,35184372088832
Anvil,4527732942197871,140737488355328,5208389207024889,4503599627370496
Kith,1655022786764649,70368744177664,8728789914872169,9007199254740992
Mau,3083480657974361,140737488355328,4994194663199375,4503599627370496
FuzzFace,1527464456083409,70368744177664,4525592860371673,4503599627370496
sanny,4615308727239521,140737488355328,4916939247908917,4503599627370496
Lion,1064041233171497,35184372088832,1131779069810445,1125899906842624
Marilyn Monroe,704758305941023,35184372088832,4780531341994259,4503599627370496
Princess Serena,3395265400697493,140737488355328,2638738347040045,2251799813685248
Grym,7497562442393157,281474976710656,1482238346799363,1125899906842624
Envy,204828511953051,8796093022208,4399526676475221,4503599627370496
Simon,6089486416141365,281474976710656,5050981690449409,4503599627370496
Mihoshi,6775607765984489,281474976710656,2414782455197493,2251799813685248
Rikachu,7294629688093867,281474976710656,2256356674068087,2251799813685248
Ryo-Ohki,3396771018490269,140737488355328,1126738215315413,1125899906842624
Sailor Man,436137753706649,17592186044416,8812522886673673,9007199254740992
Morgan,5603585492771955,281474976710656,2215301345825371,2251799813685248
Pjack,6933506407622569,281474976710656,5344129283936701,4503599627370496
Hale,7479575240613529,281474976710656,4505148162167005,4503599627370496
Phoenix,7438864396823283,281474976710656,4540410966803091,4503599627370496
